energy,os,wid,mu_x,mu_y,mu_z,theta,sym,xx,yy,zz,xy,xz,yz,atom,mo,cluster
283.88672,0.002326,0.25477707,0.007556262,0.007556262,0.9999429,0.61229753,1,1.33E-07,1.33E-07,0.002325637,0,0,0,7,117,0
283.96484,0.002679,0.25477707,0.013301007,0.013301007,0.99982309,1.0777451,1,4.74E-07,4.74E-07,0.002677624,0,0,0,10,117,0
283.98047,0.002534,0.25477707,0.019405041,0.019405041,0.99962336,1.57259,1,9.54E-07,9.54E-07,0.002532303,0,0,0,2,117,0
284.03125,0.00278,0.25477707,0.007760185,0.007760185,0.9999398,0.62869579,1,1.67E-07,1.67E-07,0.002780214,0,0,0,15,117,0
284.05859,0.002178,0.25477707,0.017258815,0.017258815,0.9997021,1.3985777,1,6.49E-07,6.49E-07,0.002176943,0,0,0,5,117,0
284.07031,0.002887,0.25477707,0.003354933,0.003354933,0.99998873,0.27196249,1,3.25E-08,3.25E-08,0.002886857,0,0,0,13,117,0
284.07812,0.000827,0.25477707,0.014368806,0.014368806,0.99979353,1.1643246,1,1.71E-07,1.71E-07,0.000826489,0,0,0,6,117,0
284.07812,0.002297,0.25477707,0.021525878,0.021525878,0.99953651,1.7445065,1,1.06E-06,1.06E-06,0.002294974,0,0,0,4,117,0
284.11328,0.001306,0.25477707,0.00562207,0.00562207,0.99996841,0.45542488,1,4.13E-08,4.13E-08,0.001305468,0,0,0,11,117,0
284.125,0.000858,0.25477707,0.005074918,0.005074918,0.99997425,0.41116911,1,2.21E-08,2.21E-08,0.000857998,0,0,0,3,117,0
284.13281,0.00236,0.25477707,0.004485366,0.004485366,0.99997985,0.36369452,1,4.75E-08,4.75E-08,0.002360247,0,0,0,12,117,0
284.16898,0.000391,0.25477707,0.007936774,0.007936774,0.999937,0.64315766,1,2.46E-08,2.46E-08,0.000390933,0,0,0,11,118,0
284.1875,0.000532,0.25477707,0.007802546,0.007802546,0.99993914,0.63211012,1,3.24E-08,3.24E-08,0.000532014,0,0,0,14,117,0
284.22488,0.000944,0.25477707,0.001130141,0.001130141,0.99999875,0.090654083,1,1.21E-09,1.21E-09,0.000944213,0,0,0,14,118,0
284.25012,0.001224,0.25477707,0.003744312,0.003744312,0.99998599,0.30325791,1,1.72E-08,1.72E-08,0.001224072,0,0,0,6,118,0
284.27377,0.000399,0.25477707,0.029438708,0.029438708,0.99913299,2.3860571,1,3.46E-07,3.46E-07,0.000398204,0,0,0,5,118,0
284.2933,0.000432,0.25477707,0.036880579,0.036880579,0.99863887,2.9897645,1,5.87E-07,5.87E-07,0.000430637,0,0,0,4,118,0
284.2973,0.00136,0.25477707,0.005143617,0.005143617,0.99997354,0.4168407,1,3.60E-08,3.60E-08,0.001360136,0,0,0,3,118,0
284.89932,0.011763,0.25477707,0.005301388,0.005301388,0.99997187,0.42978346,1,3.31E-07,3.31E-07,0.011762314,0,0,0,6,119,1
284.92569,0.012161,0.25477707,0.005760317,0.005760317,0.9999668,0.4668813,1,4.04E-07,4.04E-07,0.012159838,0,0,0,3,119,1
284.92758,0.012147,0.25477707,0.006826497,0.006826497,0.99995339,0.55320072,1,5.66E-07,5.66E-07,0.012146108,0,0,0,11,119,1
284.95789,0.012573,0.25477707,0.001127125,0.001127125,0.99999875,0.090654083,1,1.60E-08,1.60E-08,0.012573368,0,0,0,14,119,1
285.03516,0.005685,0.25477707,0.010266659,0.010266659,0.99989462,0.83180714,1,5.99E-07,5.99E-07,0.005684234,0,0,0,8,117,1
285.07562,0.007818,0.25477707,0.001797525,0.001797525,0.99999678,0.14536996,1,2.53E-08,2.53E-08,0.007817912,0,0,0,13,119,1
285.09183,0.007703,0.25477707,0.032506511,0.032506511,0.99894279,2.6348507,1,8.14E-06,8.14E-06,0.007686587,0,0,0,4,119,1
285.09949,0.006847,0.25477707,0.026440505,0.026440505,0.99930066,2.1429276,1,4.79E-06,4.79E-06,0.006837429,0,0,0,5,119,1
285.10938,0.005935,0.25477707,0.003747444,0.003747444,0.99998593,0.30390245,1,8.33E-08,8.33E-08,0.005934353,0,0,0,1,117,1
285.12109,0.006051,0.25477707,0.002978626,0.002978626,0.99999112,0.24147442,1,5.37E-08,5.37E-08,0.006050644,0,0,0,9,117,1
285.16141,0.007473,0.25477707,0.005270241,0.005270241,0.99997222,0.42704305,1,2.08E-07,2.08E-07,0.007472996,0,0,0,12,119,1
285.18222,0.004255,0.25477707,0.013427149,0.013427149,0.9998197,1.0880451,1,7.67E-07,7.67E-07,0.004253791,0,0,0,7,119,1
285.20703,0.006119,0.25477707,0.004604441,0.004604441,0.99997878,0.37325314,1,1.30E-07,1.30E-07,0.006118649,0,0,0,16,117,1
285.21295,0.004977,0.25477707,0.009667249,0.009667249,0.99990654,0.78334683,1,4.65E-07,4.65E-07,0.004975835,0,0,0,10,119,1
285.27036,0.004607,0.25477707,0.017971506,0.017971506,0.999677,1.4562936,1,1.49E-06,1.49E-06,0.004604274,0,0,0,2,119,1
285.32635,0.00522,0.25477707,0.003028338,0.003028338,0.99999082,0.24549258,1,4.79E-08,4.79E-08,0.005220013,0,0,0,15,119,1
285.34662,0.001054,0.25477707,0.0016865,0.0016865,0.99999714,0.13705611,1,3.00E-09,3.00E-09,0.001053838,0,0,0,7,120,1
285.41574,0.000254,0.25477707,0.036020905,0.036020905,0.99870163,2.9200046,1,3.30E-07,3.30E-07,0.000253816,0,0,0,10,120,1
285.42426,0.0003,0.25477707,0.040517304,0.040517304,0.998357,3.2848547,1,4.92E-07,4.92E-07,0.000298557,0,0,0,15,120,1
285.44241,0.00059,0.25477707,0.011651473,0.011651473,0.99986422,0.94419014,1,8.01E-08,8.01E-08,0.000590163,0,0,0,13,120,2
285.44412,0.001357,0.25477707,0.001385781,0.001385781,0.99999809,0.11190584,1,2.61E-09,2.61E-09,0.00135724,0,0,0,12,120,2
285.45377,0.001462,0.25477707,0.005975263,0.005975263,0.9999643,0.48416388,1,5.22E-08,5.22E-08,0.001462266,0,0,0,5,120,2
285.46155,0.0009,0.25477707,0.017142072,0.017142072,0.99970609,1.3891714,1,2.64E-07,2.64E-07,0.00089914,0,0,0,2,120,2
285.47821,0.001353,0.25477707,0.017876631,0.017876631,0.9996804,1.4486139,1,4.32E-07,4.32E-07,0.001351704,0,0,0,4,120,2
285.79346,0.000337,0.25477707,0.006874869,0.006874869,0.99995273,0.55707794,1,1.59E-08,1.59E-08,0.000336543,0,0,0,10,121,3
285.90936,0.00054,0.25477707,0.023456056,0.023456056,0.99944967,1.9009427,1,2.97E-07,2.97E-07,0.000539433,0,0,0,2,121,3
285.99005,0.000454,0.25477707,0.016187206,0.016187206,0.99973792,1.3117933,1,1.19E-07,1.19E-07,0.000453598,0,0,0,10,122,3
286.05066,0.000459,0.25477707,0.0057493,0.0057493,0.99996692,0.46604234,1,1.52E-08,1.52E-08,0.000458906,0,0,0,15,122,3
286.0538,0.000683,0.25477707,0.003471033,0.003471033,0.99998796,0.28116018,1,8.22E-09,8.22E-09,0.000682494,0,0,0,13,122,3
286.05414,0.000503,0.25477707,0.003859579,0.003859579,0.9999851,0.31278667,1,7.49E-09,7.49E-09,0.000502677,0,0,0,7,123,3
286.10312,0.000839,0.25477707,0.001204667,0.001204667,0.99999857,0.096913293,1,1.22E-09,1.22E-09,0.000839389,0,0,0,12,122,3
286.13507,0.000574,0.25477707,0.011487881,0.011487881,0.99986804,0.93083191,1,7.57E-08,7.57E-08,0.000573447,0,0,0,5,122,3
286.1459,0.000504,0.25477707,0.017955633,0.017955633,0.99967754,1.4550837,1,1.63E-07,1.63E-07,0.00050384,0,0,0,4,122,3
286.15085,0.000626,0.25477707,0.002159027,0.002159027,0.99999535,0.17471297,1,2.92E-09,2.92E-09,0.000625515,0,0,0,2,123,3
286.16037,0.00094,0.25477707,0.012439138,0.012439138,0.99984527,1.0079422,1,1.45E-07,1.45E-07,0.000939906,0,0,0,5,123,3
286.19931,0.000686,0.25477707,0.017744247,0.017744247,0.99968511,1.4379023,1,2.16E-07,2.16E-07,0.000685356,0,0,0,4,123,3
286.53198,0.00478,0.25477707,0.01820593,0.01820593,0.99966848,1.4753844,1,1.58E-06,1.58E-06,0.00477733,0,0,0,5,124,4
286.53381,0.005108,0.25477707,0.004520859,0.004520859,0.99997956,0.3663747,1,1.04E-07,1.04E-07,0.005108317,0,0,0,13,124,4
286.55841,0.005226,0.25477707,0.002879583,0.002879583,0.99999171,0.23323052,1,4.33E-08,4.33E-08,0.005226224,0,0,0,12,124,4
286.57263,0.004687,0.25477707,0.029630743,0.029630743,0.99912161,2.4016738,1,4.12E-06,4.12E-06,0.004678939,0,0,0,4,124,4
286.61325,0.001945,0.25477707,0.01519319,0.01519319,0.99976915,1.2311467,1,4.49E-07,4.49E-07,0.00194395,0,0,0,8,119,4
286.62961,0.002323,0.25477707,0.001624127,0.001624127,0.99999738,0.13122123,1,6.13E-09,6.13E-09,0.002322637,0,0,0,9,119,4
286.65012,0.0033,0.25477707,0.003126974,0.003126974,0.99999022,0.25333777,1,3.23E-08,3.23E-08,0.003300431,0,0,0,7,124,4
286.66873,0.003788,0.25477707,0.008468388,0.008468388,0.9999283,0.68614054,1,2.72E-07,2.72E-07,0.003787065,0,0,0,10,124,4
286.67447,0.002439,0.25477707,0.005673115,0.005673115,0.99996781,0.4597013,1,7.85E-08,7.85E-08,0.002438567,0,0,0,1,119,4
286.71609,0.000763,0.25477707,0.004456558,0.004456558,0.99998015,0.36099446,1,1.51E-08,1.51E-08,0.000762512,0,0,0,11,124,4
286.71631,0.000918,0.25477707,0.031824011,0.031824011,0.99898672,2.5795195,1,9.30E-07,9.30E-07,0.000916419,0,0,0,6,124,4
286.72867,0.004096,0.25477707,0.008158906,0.008158906,0.99993342,0.66116017,1,2.73E-07,2.73E-07,0.004095305,0,0,0,15,124,4
286.73691,0.001863,0.25477707,0.0064822,0.0064822,0.99995798,0.52525932,1,7.83E-08,7.83E-08,0.001863186,0,0,0,16,119,4
286.73755,0.003717,0.25477707,0.002195043,0.002195043,0.99999517,0.17804115,1,1.79E-08,1.79E-08,0.003716645,0,0,0,2,124,4
286.77618,0.000615,0.25477707,0.017428847,0.017428847,0.9996962,1.4123619,1,1.87E-07,1.87E-07,0.000615087,0,0,0,3,124,4
286.77878,0.001558,0.25477707,0.013625258,0.013625258,0.99981433,1.1041127,1,2.89E-07,2.89E-07,0.001556979,0,0,0,8,120,4
286.7915,0.000543,0.25477707,0.03203366,0.03203366,0.99897331,2.5965366,1,5.57E-07,5.57E-07,0.000542,0,0,0,14,124,4
286.86969,0.00087,0.25477707,0.012496287,0.012496287,0.99984384,1.0125908,1,1.36E-07,1.36E-07,0.000870278,0,0,0,9,120,4
286.88446,0.000995,0.25477707,0.017265067,0.017265067,0.99970186,1.3991373,1,2.97E-07,2.97E-07,0.00099477,0,0,0,1,120,4
286.9043,0.002544,0.25477707,0.70540249,0.70540249,0.069388002,86.021164,1,0.001265887,0.001265887,1.22E-05,0,0,0,13,125,4
286.91663,0.001808,0.25477707,0.01433859,0.01433859,0.99979436,1.1619693,1,3.72E-07,3.72E-07,0.001807542,0,0,0,16,120,4
286.94742,0.002593,0.25477707,0.70563662,0.70563662,0.064450346,86.304703,1,0.001291138,0.001291138,1.08E-05,0,0,0,12,125,4
286.95688,0.002584,0.25477707,0.69992679,0.69992679,0.14214443,81.828049,1,0.001265651,0.001265651,5.22E-05,0,0,0,5,125,4
286.98492,0.002553,0.25477707,0.68246615,0.68246615,0.26168671,74.829834,1,0.001188809,0.001188809,0.000174789,0,0,0,4,125,4
287.01788,0.001381,0.25477707,0.70710391,0.70710391,0.002859963,89.836136,1,0.000690748,0.000690748,1.13E-08,0,0,0,11,125,4
287.05692,0.001235,0.25477707,0.70694113,0.70694113,0.021646226,88.759666,1,0.000617194,0.000617194,5.79E-07,0,0,0,6,125,4
287.07224,0.000897,0.25477707,0.005356813,0.005356813,0.99997133,0.43386164,1,2.57E-08,2.57E-08,0.000897101,0,0,0,7,125,4
287.07581,0.001416,0.25477707,0.70293903,0.70293903,0.10841345,83.776131,1,0.000699903,0.000699903,1.66E-05,0,0,0,14,125,4
287.09528,0.000342,0.25477707,0.039945409,0.039945409,0.99840307,3.2384565,1,5.45E-07,5.45E-07,0.000340715,0,0,0,8,121,4
287.10785,0.000613,0.25477707,0.001545023,0.001545023,0.99999762,0.12511453,1,1.46E-09,1.46E-09,0.000612833,0,0,0,10,125,4
287.1167,0.000597,0.25477707,0.011283319,0.011283319,0.99987268,0.91428781,1,7.60E-08,7.60E-08,0.000596892,0,0,0,9,121,4
287.12158,0.001246,0.25477707,0.70683235,0.70683235,0.027858173,88.403641,1,0.000622333,0.000622333,9.67E-07,0,0,0,3,125,4
287.17609,0.000345,0.25477707,0.05950094,0.05950094,0.99645334,4.8269806,1,1.22E-06,1.22E-06,0.000342987,0,0,0,1,121,4
287.18851,0.000707,0.25477707,0.031816177,0.031816177,0.9989872,2.5789125,1,7.15E-07,7.15E-07,0.00070515,0,0,0,16,121,5
287.21268,0.000367,0.25477707,0.048999622,0.048999622,0.99759614,3.9735513,1,8.81E-07,8.81E-07,0.000365303,0,0,0,15,126,5
287.23798,0.000256,0.25477707,0.028770983,0.028770983,0.99917191,2.3318772,1,2.12E-07,2.12E-07,0.000255824,0,0,0,11,126,5
287.26486,0.000702,0.25477707,0.015532879,0.015532879,0.99975872,1.2586548,1,1.69E-07,1.69E-07,0.000701796,0,0,0,2,126,5
287.2933,0.000373,0.25477707,0.021109108,0.021109108,0.99955428,1.71075,1,1.66E-07,1.66E-07,0.000372295,0,0,0,14,126,5
287.29581,0.000301,0.25477707,0.26162973,0.26162973,0.92903161,21.715639,1,2.06E-05,2.06E-05,0.00026002,0,0,0,6,126,5
287.3465,0.000415,0.25477707,0.042141959,0.042141959,0.99822247,3.416728,1,7.37E-07,7.37E-07,0.000413254,0,0,0,3,126,5
287.45181,0.000745,0.25477707,0.70660549,0.70660549,0.037648682,87.842377,1,0.000371791,0.000371791,1.06E-06,0,0,0,13,128,6
287.49698,0.000501,0.25477707,0.70386451,0.70386451,0.095653333,84.511078,1,0.000248292,0.000248292,4.59E-06,0,0,0,11,128,6
287.49741,0.000728,0.25477707,0.70669532,0.70669532,0.034108989,88.045319,1,0.000363813,0.000363813,8.48E-07,0,0,0,12,128,6
287.50369,0.000655,0.25477707,0.70710677,0.70710677,0.000135171,89.992256,1,0.00032732,0.00032732,1.20E-11,0,0,0,5,128,6
287.52643,0.000652,0.25477707,0.70708114,0.70708114,0.008511491,89.512321,1,0.000325813,0.000325813,4.72E-08,0,0,0,4,128,6
287.53152,0.000421,0.25477707,0.70707291,0.70707291,0.009789696,89.439079,1,0.000210258,0.000210258,4.03E-08,0,0,0,6,128,6
287.53162,0.000806,0.25477707,0.02134219,0.02134219,0.99954438,1.7296352,1,3.67E-07,3.67E-07,0.000805404,0,0,0,7,129,6
287.54285,0.000915,0.25477707,0.001147475,0.001147475,0.99999869,0.092787415,1,1.21E-09,1.21E-09,0.000915261,0,0,0,10,129,6
287.55521,0.000522,0.25477707,0.70710522,0.70710522,0.002081953,89.880714,1,0.000260764,0.000260764,2.26E-09,0,0,0,14,128,6
287.5799,0.000643,0.25477707,0.70710313,0.70710313,0.003202356,89.816521,1,0.000321689,0.000321689,6.60E-09,0,0,0,11,129,6
287.5817,0.000441,0.25477707,0.70710629,0.70710629,0.001151084,89.934052,1,0.000220453,0.000220453,5.84E-10,0,0,0,3,128,6
287.60938,0.001,0.25477707,0.00374836,0.00374836,0.99998593,0.30390245,1,1.41E-08,1.41E-08,0.000999984,0,0,0,15,129,6
287.61786,0.000949,0.25477707,0.041395653,0.041395653,0.99828494,3.3561387,1,1.63E-06,1.63E-06,0.000945801,0,0,0,2,129,6
287.62103,0.000725,0.25477707,0.70687711,0.70687711,0.025484242,88.539703,1,0.000362139,0.000362139,4.71E-07,0,0,0,6,129,6
287.63739,0.000705,0.25477707,0.70710522,0.70710522,0.00211094,89.879051,1,0.000352294,0.000352294,3.14E-09,0,0,0,14,129,6
287.66498,0.000784,0.25477707,0.70662278,0.70662278,0.036992893,87.879982,1,0.000391435,0.000391435,1.07E-06,0,0,0,3,129,6
287.68039,0.000532,0.25477707,0.002340048,0.002340048,0.99999452,0.18974563,1,2.91E-09,2.91E-09,0.000531558,0,0,0,11,130,6
287.69742,0.000565,0.25477707,0.031622652,0.031622652,0.99899954,2.5631533,1,5.65E-07,5.65E-07,0.000563737,0,0,0,6,130,6
287.7373,0.000685,0.25477707,0.018695118,0.018695118,0.99965042,1.5150409,1,2.39E-07,2.39E-07,0.000684193,0,0,0,14,130,6
287.74768,0.000492,0.25477707,0.045004547,0.045004547,0.99797255,3.6491046,1,9.97E-07,9.97E-07,0.000490022,0,0,0,3,130,6
287.81079,0.00044,0.25477707,0.54574603,0.54574603,0.6358636,50.515934,1,0.000130944,0.000130944,0.00017776,0,0,0,11,131,6
287.81451,0.000427,0.25477707,0.053213332,0.053213332,0.99716431,4.3158841,1,1.21E-06,1.21E-06,0.000424895,0,0,0,13,131,6
287.84497,0.000409,0.25477707,0.17053305,0.17053305,0.97048283,13.955619,1,1.19E-05,1.19E-05,0.000385226,0,0,0,5,131,6
287.85101,0.000587,0.25477707,0.088521227,0.088521227,0.99213302,7.1916203,1,4.60E-06,4.60E-06,0.00057778,0,0,0,12,131,6
287.86542,0.000454,0.25477707,0.036685072,0.036685072,0.99865329,2.973877,1,6.11E-07,6.11E-07,0.000453064,0,0,0,4,131,6
287.89099,0.00031,0.25477707,0.54759043,0.54759043,0.63268429,50.751556,1,9.28E-05,9.28E-05,0.000123906,0,0,0,14,131,6
287.89478,0.000286,0.25477707,0.001061931,0.001061931,0.99999887,0.086229235,1,3.22E-10,3.22E-10,0.00028562,0,0,0,3,131,6
287.89542,0.000365,0.25477707,0.70692694,0.70692694,0.02255133,88.707794,1,0.000182427,0.000182427,1.86E-07,0,0,0,13,132,6
287.94052,0.000404,0.25477707,0.69979936,0.69979936,0.14339359,81.75573,1,0.000197692,0.000197692,8.30E-06,0,0,0,12,132,6
287.9649,0.000265,0.25477707,0.001512846,0.001512846,0.99999774,0.12194657,1,6.06E-10,6.06E-10,0.000264982,0,0,0,13,133,6
287.96606,0.000506,0.25477707,0.38283896,0.38283896,0.84075481,32.78009,1,7.41E-05,7.41E-05,0.000357587,0,0,0,5,132,6
287.97528,0.000536,0.25477707,0.002640543,0.002640543,0.99999303,0.21397886,1,3.73E-09,3.73E-09,0.000535502,0,0,0,11,133,6
287.98941,0.00046,0.25477707,0.69770062,0.69770062,0.16256607,80.644127,1,0.000224026,0.000224026,1.22E-05,0,0,0,4,132,6
287.99728,0.000317,0.25477707,0.70677882,0.70677882,0.030453423,88.254875,1,0.000158096,0.000158096,2.94E-07,0,0,0,11,134,6
288.0097,0.000462,0.25477707,0.064593337,0.064593337,0.99581897,5.2411981,1,1.93E-06,1.93E-06,0.00045764,0,0,0,6,133,6
288.02643,0.00046,0.25477707,0.65008831,0.65008831,0.39340866,66.833237,1,0.000194575,0.000194575,7.13E-05,0,0,0,6,134,6
288.03079,0.000449,0.25477707,0.004803367,0.004803367,0.99997693,0.38916519,1,1.04E-08,1.04E-08,0.000448585,0,0,0,14,133,6
288.03809,0.000504,0.25477707,0.31045225,0.31045225,0.89846468,26.043016,1,4.86E-05,4.86E-05,0.000407151,0,0,0,3,133,6
288.05771,0.00041,0.25477707,0.70510471,0.70510471,0.075198263,85.687386,1,0.000203988,0.000203988,2.32E-06,0,0,0,14,134,6
288.07928,0.000481,0.25477707,0.62924224,0.62924224,0.45618907,62.858532,1,0.00019055,0.00019055,0.000100153,0,0,0,3,134,6
288.12906,0.006414,0.25477707,0.000713243,0.000713243,0.99999946,0.059347026,1,3.26E-09,3.26E-09,0.006414573,0,0,0,8,124,7
288.16489,0.006652,0.25477707,0.003561501,0.003561501,0.9999873,0.28871408,1,8.44E-08,8.44E-08,0.006651765,0,0,0,9,124,7
288.18747,0.006527,0.25477707,0.001817744,0.001817744,0.99999672,0.1467098,1,2.16E-08,2.16E-08,0.006527207,0,0,0,1,124,7
288.24811,0.00593,0.25477707,0.002335127,0.002335127,0.99999458,0.18871158,1,3.23E-08,3.23E-08,0.005929584,0,0,0,16,124,7
288.30005,0.000267,0.25477707,0.002121075,0.002121075,0.99999553,0.17132016,1,1.20E-09,1.20E-09,0.000267019,0,0,0,2,136,7
288.31567,0.00033,0.25477707,0.001520536,0.001520536,0.99999768,0.12354071,1,7.63E-10,7.63E-10,0.000329804,0,0,0,15,137,7
